0x1643	0x65
0x1646	0xa3
0x1649	0xd7
0x164c	0xf7
0x164f	0x127
0x1652	0x15b
0xe5	0x17d
0x176	0x3ea
0x7ef	0x960
0x8d0x65	0x960
0x8d0xa3	0x960
0x8d0x127	0x960
0x9ea	0x974
0xb6d	0x974
0xf69	0x974
0xa17	0x98c
0xb98	0x98c
0xd7	0x9d4
0xa5f	0xa2f
0xebc	0xa2f
0xfd5	0xa2f
0xa8b	0xa5f
0xd8d	0xa5f
0xea	0xa8b
0xb17	0xa9e
0xb3c	0xa9e
0xb61	0xa9e
0x103	0xae2
0x159d	0xbd2
0x15c1	0xbd2
0x15e5	0xbd2
0x1609	0xbd2
0xc6a	0xc02
0xe95	0xc02
0xd62	0xcd8
0xd76	0xcd8
0x4cc	0xd13
0x570	0xde5
0x884	0xde5
0xe31	0xdfd
0xf2e	0xdfd
0xf9b	0xe20
0x5d4	0xee6
0x6d3	0xfb3
0x86b	0x1025
0x87a	0x1025
0x1640	0x1642
