0xd7	0x9d4	0xe5
0xe5	0x17d	0xea
0xea	0xa8b	0x14b5
0x103	0xae2	0x112
0x176	0x3ea	0x17b
0x4cc	0xd13	0x534
0x570	0xde5	0x57d
0x5d4	0xee6	0x5ed
0x6d3	0xfb3	0x6f7
0x7ef	0x960	0x82a
0x86b	0x1025	0x87a
0x87a	0x1025	0x884
0x884	0xde5	0x8aa
0x9ea	0x974	0x9f5
0xa17	0x98c	0xa23
0xa5f	0xa2f	0xa77
0xa8b	0xa5f	0x1551
0xb17	0xa9e	0xb23
0xb3c	0xa9e	0xb48
0xb61	0xa9e	0xb6d
0xb6d	0x974	0xb82
0xb98	0x98c	0xba5
0xc6a	0xc02	0x159d
0xd62	0xcd8	0xd76
0xd76	0xcd8	0xd8d
0xd8d	0xa5f	0xdb0
0xe31	0xdfd	0x15c1
0xe95	0xc02	0x15e5
0xebc	0xa2f	0xecb
0xf2e	0xdfd	0x1609
0xf69	0x974	0xf73
0xf9b	0xe20	0xfa9
0xfd5	0xa2f	0xfe7
0x159d	0xbd2	0xc7d
0x15c1	0xbd2	0xe41
0x15e5	0xbd2	0xea7
0x1609	0xbd2	0xf3c
0x8d0x65	0x960	0x148d0x65
0x8d0xa3	0x960	0x148d0xa3
0x8d0x127	0x960	0x148d0x127
