0x9	0x59
0xd	0x0
0x55	0x0
0x5b	0x60
0x61	0x0
0x69	0x71
0x73	0x8d0x65
0xa7	0xaf
0xb1	0x8d0xa3
0xd8	0xea
0xdb	0xe5
0xee	0x14b5
0xfb	0x103
0x105	0x117
0x108	0x112
0x113	0x27c
0x123	0x14dd
0x12b	0x133
0x135	0x8d0x127
0x15f	0x167
0x169	0x17b
0x16c	0x176
0x172	0xc29
0x18a	0x1cc
0x1e0	0x1ea
0x1e6	0xcb2
0x202	0x227
0x223	0x22c
0x233	0x272
0x26e	0x1082
0x2ab	0x2ea
0x2e6	0x10aa
0x2f7	0x335
0x331	0x10d2
0x338	0x37c
0x342	0x34d
0x346	0x34d
0x349	0x10fa
0x35c	0x367
0x360	0x367
0x363	0x112f
0x36f	0x570
0x37a	0x570
0x37f	0x3d9
0x389	0x394
0x38d	0x394
0x390	0x1164
0x3d2	0x5d4
0x42c	0x437
0x430	0x437
0x433	0x1199
0x47d	0x488
0x481	0x488
0x484	0x11ce
0x4c1	0x4cc
0x4c5	0x4cc
0x4c8	0x1203
0x51b	0x534
0x546	0x54e
0x555	0x562
0x574	0x57d
0x584	0x1505
0x5c9	0x1238
0x5e4	0x5ed
0x5f9	0x644
0x640	0x1260
0x66f	0x67a
0x673	0x67a
0x676	0x1288
0x696	0x6b4
0x6c6	0x6d3
0x6ee	0x6f7
0x701	0x7ef
0x70e	0x719
0x712	0x719
0x715	0x12bd
0x731	0x73c
0x735	0x73c
0x738	0x12f2
0x748	0x751
0x74d	0xfd5
0x769	0x78e
0x78a	0x793
0x79a	0x7da
0x7d6	0x1327
0x7df	0x7e7
0x7e3	0xff1
0x7eb	0x6fb
0x81d	0x82a
0x83a	0x847
0x862	0x86b
0x867	0x100c
0x871	0x87a
0x87b	0x884
0x8a1	0x8aa
0x8bd	0x8c8
0x8da	0x8e2
0x8e9	0x8f6
0x91a	0x927
0x948	0x955
0x981	0x989
0x996	0x99e
0x9ad	0x9b5
0x9c5	0x152b
0x9e2	0x9ea
0x9ed	0x9f5
0xa0f	0xa17
0xa18	0xa23
0xa37	0xa4a
0xa46	0xa32
0xa4f	0xa59
0xa67	0xa77
0xa92	0x1551
0xaa8	0xab0
0xabf	0xac7
0xada	0x1577
0xaf8	0xb00
0xb0f	0xb17
0xb18	0xb23
0xb34	0xb3c
0xb3d	0xb48
0xb59	0xb61
0xb62	0xb6d
0xb7a	0xb82
0xb90	0xb98
0xb9a	0xba5
0xbef	0xbfa
0xbf3	0xbfa
0xbf6	0x134f
0xc10	0xc1b
0xc14	0xc1b
0xc17	0x1384
0xc34	0xc3c
0xc51	0xc59
0xc62	0xc6a
0xc6d	0xc7d
0xc70	0x159d
0xc8a	0xc92
0xcf1	0xd08
0xd04	0xcec
0xd49	0xd62
0xd5e	0xd44
0xd6d	0xd76
0xd84	0xd8d
0xda7	0xdb0
0xdb4	0xdc3
0xded	0xdf8
0xdf1	0xdf8
0xdf4	0x13b9
0xe0b	0xe16
0xe0f	0xe16
0xe12	0x13ee
0xe29	0xe31
0xe36	0xe41
0xe39	0x15c1
0xe58	0xe60
0xe69	0xedb
0xe7a	0xe83
0xe8c	0xe95
0xe9c	0xea7
0xe9f	0x15e5
0xeb3	0xebc
0xebd	0xecb
0xed7	0xe64
0xef3	0xefb
0xf12	0xf1a
0xf26	0xf2e
0xf31	0xf3c
0xf34	0x1609
0xf53	0xf5b
0xf65	0xf82
0xf6b	0xf73
0xf7e	0xf60
0xf93	0xf9b
0xf9e	0xfa9
0xfbd	0xfc5
0xfcd	0x162d
0xfda	0xfe7
0xffa	0x1005
0xffe	0x1005
0x1001	0x1423
0x1016	0x101e
0x102c	0x1037
0x1030	0x1037
0x1033	0x1458
0x1634	0x1643
0x1636	0x1646
0x1638	0x1649
0x163a	0x164c
0x163c	0x164f
0x163e	0x1652
0x650x91	0x148d0x65
0xa30x91	0x148d0xa3
0x1270x91	0x148d0x127
