0x8d	0x960	0x148d	0x148d
0xd7	0x9d4	0xe5	0xea
0xd7	0x9d4	0xea	0xea
0xea	0xa8b	0x14b5	0x14b5
0x103	0xae2	0x112	0x117
0x103	0xae2	0x117	0x117
0x167	0xc29	0x176	0x17b
0x167	0xc29	0x17b	0x17b
0x17d	0x1cc	0x60	0x60
0x1cc	0xcb2	0x1ea	0x1ea
0x335	0x34d	0x37c	0x37c
0x346	0x10fa	0x34d	0x34d
0x360	0x112f	0x367	0x367
0x37c	0x394	0x3d9	0x3d9
0x38d	0x1164	0x394	0x394
0x430	0x1199	0x437	0x437
0x481	0x11ce	0x488	0x488
0x4c5	0x1203	0x4cc	0x4cc
0x4cc	0xd13	0x534	0x534
0x570	0xde5	0x57d	0x57d
0x5d4	0xee6	0x5ed	0x5ed
0x673	0x1288	0x67a	0x67a
0x6d3	0xfb3	0x6f7	0x6f7
0x712	0x12bd	0x719	0x719
0x735	0x12f2	0x73c	0x73c
0x73c	0xfd5	0x751	0x751
0x7da	0xff1	0x7e7	0x7e7
0x7ef	0x960	0x82a	0x82a
0x847	0x100c	0x86b	0x86b
0x86b	0x1025	0x87a	0x87a
0x87a	0x1025	0x884	0x884
0x884	0xde5	0x8aa	0x8aa
0x9ea	0x974	0x9f5	0x9f5
0xa17	0x98c	0xa23	0xa23
0xa5f	0xa2f	0xa77	0xa77
0xa8b	0xa5f	0x1551	0x1551
0xb17	0xa9e	0xb23	0xb23
0xb3c	0xa9e	0xb48	0xb48
0xb61	0xa9e	0xb6d	0xb6d
0xb6d	0x974	0xb82	0xb82
0xb98	0x98c	0xba5	0xba5
0xbf3	0x134f	0xbfa	0xbfa
0xc14	0x1384	0xc1b	0xc1b
0xc6a	0xc02	0xc7d	0xc7d
0xc6a	0xc02	0x159d	0xc7d
0xd62	0xcd8	0xd76	0xd76
0xd76	0xcd8	0xd8d	0xd8d
0xd8d	0xa5f	0xdb0	0xdb0
0xdf1	0x13b9	0xdf8	0xdf8
0xe0f	0x13ee	0xe16	0xe16
0xe31	0xdfd	0xe41	0xe41
0xe31	0xdfd	0x15c1	0xe41
0xe95	0xc02	0xea7	0xea7
0xe95	0xc02	0x15e5	0xea7
0xebc	0xa2f	0xecb	0xecb
0xf2e	0xdfd	0xf3c	0xf3c
0xf2e	0xdfd	0x1609	0xf3c
0xf69	0x974	0xf73	0xf73
0xf9b	0xe20	0xfa9	0xfa9
0xfd5	0xa2f	0xfe7	0xfe7
0xffe	0x1423	0x1005	0x1005
0x1030	0x1458	0x1037	0x1037
