0x7ec	[0x7d9, 0x7fe]	0x2
0x8d1	[0x857, 0x8e4]	0x0
0x14f1	[0x14ef, 0x152d]	0x0
0x1aca	[0x1ac8, 0x1af2]	0x0
0x1cc9	[0x1cc7, 0x1cf8]	0x0
0x22d9	[0x22d7, 0x22ec]	0x0
0x2304	[0x2302, 0x2317]	0x0
0x2e6f	[0x2e6d, 0x2e9b]	0x0
0x4579	[0x4535, 0x459d]	0x0
0x4635	[0x45f7, 0x4659]	0x0
0x4f82	[0x4f75, 0x5052]	0x0
0x544d	[0x544b, 0x5460]	0x0
0x392b0x37d4	[0x37d40x3929, 0x37d40x3a29]	0x0
0x392b0x37fa	[0x37fa0x3929, 0x37fa0x3a29]	0x0
0x40df0x3f7c	[0x40dd, 0x3f7c0x40f2]	0x0
0x40df0x442e	[0x44a9, 0x442e0x40f2]	0x20
